N,Optimal/Feasible,Time,Risk,Marginal
1,Optimal,0.00,0
2,Optimal,0.03,0,=D3 - D2
3,Optimal,0.02,0,=D4 - D3
4,Optimal,0.05,0,=D5 - D4
5,Optimal,0.02,0,=D6 - D5
6,Optimal,0.02,0,=D7 - D6
7,Optimal,0.08,0,=D8 - D7
8,Optimal,0.09,0,=D9 - D8
9,Optimal,0.08,0,=D10 - D9
10,Optimal,0.02,0,=D11 - D10
11,Optimal,0.08,0,=D12 - D11
12,Optimal,0.08,0,=D13 - D12
13,Optimal,0.02,0,=D14 - D13
14,Optimal,0.02,0,=D15 - D14
15,Optimal,0.02,0,=D16 - D15
16,Optimal,0.03,0,=D17 - D16
17,Optimal,0.03,0,=D18 - D17
18,Optimal,0.00,0,=D19 - D18
19,Optimal,0.06,0,=D20 - D19
20,Optimal,0.02,0,=D21 - D20
21,Optimal,0.09,0,=D22 - D21
22,Optimal,0.09,0,=D23 - D22
23,Optimal,0.06,0,=D24 - D23
24,Optimal,0.03,0,=D25 - D24
25,Optimal,71.14,16,=D26 - D25
26,Optimal,69.19,32,=D27 - D26
27,Optimal,104.28,48,=D28 - D27
28,Optimal,158.64,64,=D29 - D28
29,Optimal,170.88,80,=D30 - D29
30,Optimal,184.86,96,=D31 - D30
31,Optimal,117.17,112,=D32 - D31
32,Optimal,175.66,128,=D33 - D32
33,Optimal,43.02,144,=D34 - D33
34,Optimal,46.14,160,=D35 - D34
35,Optimal,53.89,182,=D36 - D35
36,Optimal,51.22,204,=D37 - D36
37,Optimal,49.14,234,=D38 - D37
38,Optimal,47.81,264,=D39 - D38
39,Optimal,56.72,294,=D40 - D39
40,Optimal,28.86,324,=D41 - D40
41,Optimal,26.84,354,=D42 - D41
42,Optimal,27.17,384,=D43 - D42
43,Optimal,52.13,414,=D44 - D43
44,Optimal,31.73,444,=D45 - D44
45,Optimal,25.48,474,=D46 - D45
46,Optimal,24.95,504,=D47 - D46
47,Optimal,27.63,534,=D48 - D47
48,Optimal,27.95,564,=D49 - D48
49,Optimal,29.08,608,=D50 - D49
50,Optimal,34.05,652,=D51 - D50
51,Optimal,32.31,696,=D52 - D51
52,Optimal,26.06,740,=D53 - D52
53,Optimal,20.11,784,=D54 - D53
54,Optimal,23.31,828,=D55 - D54
55,Optimal,22.38,872,=D56 - D55
56,Optimal,27.63,916,=D57 - D56
57,Optimal,14.48,960,=D58 - D57
58,Optimal,3.77,1004,=D59 - D58
59,Optimal,3.88,1150,=D60 - D59
60,Optimal,2.56,1296,=D61 - D60
61,Optimal,2.34,1466,=D62 - D61
62,Optimal,2.34,1650,=D63 - D62
63,Optimal,3.03,1854,=D64 - D63
64,Optimal,4.66,2130,=D65 - D64
65,Optimal,5.94,2406,=D66 - D65
66,Optimal,10.55,2698,=D67 - D66
67,Optimal,17.02,2990,=D68 - D67
68,Optimal,18.80,3282,=D69 - D68
69,Optimal,18.41,3574,=D70 - D69
70,Optimal,21.86,3866,=D71 - D70
71,Optimal,13.38,4158,=D72 - D71
72,Optimal,19.67,4450,=D73 - D72
73,Optimal,15.47,4742,=D74 - D73
74,Optimal,16.28,5034,=D75 - D74
75,Optimal,17.59,5326,=D76 - D75
76,Optimal,10.92,5618,=D77 - D76
77,Optimal,33.89,5910,=D78 - D77
78,Optimal,14.36,6202,=D79 - D78
79,Optimal,12.23,6494,=D80 - D79
80,Optimal,10.14,6786,=D81 - D80
81,Optimal,8.42,7078,=D82 - D81
82,Optimal,3.84,7386,=D83 - D82
83,Optimal,3.86,7700,=D84 - D83
84,Optimal,2.58,8016,=D85 - D84
85,Optimal,2.83,8338,=D86 - D85
86,Optimal,2.84,8662,=D87 - D86
87,Optimal,3.59,8986,=D88 - D87
88,Optimal,1.98,9310,=D89 - D88
89,Optimal,1.86,9634,=D90 - D89
90,Optimal,3.98,9958,=D91 - D90
91,Optimal,2.73,10282,=D92 - D91
92,Optimal,5.38,10606,=D93 - D92
93,Optimal,1.77,10930,=D94 - D93
94,Optimal,1.61,11268,=D95 - D94
95,Optimal,2.83,11606,=D96 - D95
96,Optimal,2.67,11944,=D97 - D96
97,Optimal,1.03,12282,=D98 - D97
98,Optimal,1.88,12620,=D99 - D98
99,Optimal,3.73,12958,=D100 - D99
100,Optimal,0.83,13296,=D101 - D100
101,Optimal,0.53,13634,=D102 - D101
102,Optimal,0.05,13976,=D103 - D102
103,Optimal,0.08,14340,=D104 - D103
104,Optimal,0.09,14704,=D105 - D104
105,Optimal,0.08,15068,=D106 - D105
106,Optimal,0.05,15432,=D107 - D106
107,Optimal,0.03,15796,=D108 - D107
108,Optimal,0.06,16160,=D109 - D108
109,Optimal,0.08,16524,=D110 - D109
110,Optimal,0.02,16888,=D111 - D110
