N,Optimal/Feasible,Time,Risk,Marginal
1,Optimal,0.00,0
2,Optimal,0.02,0,=D3 - D2
3,Optimal,0.02,0,=D4 - D3
4,Optimal,0.09,0,=D5 - D4
5,Optimal,0.09,0,=D6 - D5
6,Optimal,0.03,0,=D7 - D6
7,Optimal,0.03,0,=D8 - D7
8,Optimal,0.03,0,=D9 - D8
9,Optimal,0.03,0,=D10 - D9
10,Optimal,0.08,0,=D11 - D10
11,Optimal,0.05,0,=D12 - D11
12,Optimal,0.11,0,=D13 - D12
13,Optimal,0.11,0,=D14 - D13
14,Optimal,0.05,0,=D15 - D14
15,Optimal,0.11,0,=D16 - D15
16,Optimal,0.03,0,=D17 - D16
17,Optimal,0.03,0,=D18 - D17
18,Optimal,0.11,0,=D19 - D18
19,Optimal,0.09,0,=D20 - D19
20,Optimal,0.02,0,=D21 - D20
21,Optimal,0.11,0,=D22 - D21
22,Optimal,0.05,0,=D23 - D22
23,Optimal,0.03,0,=D24 - D23
24,Optimal,0.03,0,=D25 - D24
25,Optimal,0.03,0,=D26 - D25
26,Optimal,0.09,0,=D27 - D26
27,Optimal,0.08,0,=D28 - D27
28,Optimal,0.09,0,=D29 - D28
29,Optimal,0.03,0,=D30 - D29
30,Optimal,0.03,0,=D31 - D30
31,Optimal,0.09,0,=D32 - D31
32,Optimal,0.08,0,=D33 - D32
33,Optimal,0.09,0,=D34 - D33
34,Optimal,0.09,0,=D35 - D34
35,Optimal,0.09,0,=D36 - D35
36,Optimal,0.06,0,=D37 - D36
37,Optimal,0.09,0,=D38 - D37
38,Optimal,0.06,0,=D39 - D38
39,Optimal,0.13,0,=D40 - D39
40,Optimal,0.09,0,=D41 - D40
41,Optimal,0.06,0,=D42 - D41
42,Optimal,0.08,0,=D43 - D42
43,Optimal,0.17,0,=D44 - D43
44,Optimal,0.06,0,=D45 - D44
45,Optimal,0.11,0,=D46 - D45
46,Optimal,0.08,0,=D47 - D46
47,Optimal,0.08,0,=D48 - D47
48,Optimal,0.08,0,=D49 - D48
49,Optimal,0.08,0,=D50 - D49
50,Optimal,0.09,0,=D51 - D50
51,Optimal,0.08,0,=D52 - D51
52,Optimal,0.09,0,=D53 - D52
53,Optimal,0.08,0,=D54 - D53
54,Optimal,0.08,0,=D55 - D54
55,Optimal,28.23,180,=D56 - D55
56,Optimal,74.81,360,=D57 - D56
57,Optimal,69.42,540,=D58 - D57
58,Optimal,10.16,720,=D59 - D58
59,Optimal,7.72,900,=D60 - D59
60,Optimal,11.48,1080,=D61 - D60
61,Optimal,10.09,1260,=D62 - D61
62,Optimal,7.52,1440,=D63 - D62
63,Optimal,16.42,1620,=D64 - D63
64,Optimal,17.06,1800,=D65 - D64
65,Optimal,12.70,1980,=D66 - D65
66,Optimal,10.50,2160,=D67 - D66
67,Optimal,62.53,2340,=D68 - D67
68,Optimal,38.91,2700,=D69 - D68
69,Optimal,30.02,3060,=D70 - D69
70,Optimal,32.91,3420,=D71 - D70
71,Optimal,46.53,3780,=D72 - D71
72,Optimal,37.25,4140,=D73 - D72
73,Optimal,40.05,4500,=D74 - D73
74,Optimal,118.69,4860,=D75 - D74
75,Optimal,21.84,5220,=D76 - D75
76,Optimal,20.86,5580,=D77 - D76
77,Optimal,28.27,5940,=D78 - D77
78,Optimal,45.20,6300,=D79 - D78
79,Optimal,20.17,6660,=D80 - D79
80,Optimal,17.09,7020,=D81 - D80
81,Optimal,32.16,7380,=D82 - D81
82,Optimal,9.59,7740,=D83 - D82
83,Optimal,10.17,8100,=D84 - D83
84,Optimal,7.55,8460,=D85 - D84
85,Optimal,10.23,8820,=D86 - D85
86,Optimal,10.95,9180,=D87 - D86
87,Optimal,10.97,9540,=D88 - D87
88,Optimal,10.86,9900,=D89 - D88
89,Optimal,26.48,10260,=D90 - D89
90,Optimal,15.33,10620,=D91 - D90
91,Optimal,12.39,10980,=D92 - D91
92,Optimal,10.28,11340,=D93 - D92
93,Optimal,14.64,11700,=D94 - D93
94,Optimal,13.50,12060,=D95 - D94
95,Optimal,10.11,12420,=D96 - D95
96,Optimal,16.11,12780,=D97 - D96
97,Optimal,17.75,13320,=D98 - D97
98,Optimal,7.03,13860,=D99 - D98
99,Optimal,10.08,14400,=D100 - D99
100,Optimal,7.30,14940,=D101 - D100
101,Optimal,8.05,15480,=D102 - D101
102,Optimal,19.70,16200,=D103 - D102
103,Optimal,20.95,16920,=D104 - D103
104,Optimal,27.13,17640,=D105 - D104
105,Optimal,19.69,18360,=D106 - D105
106,Optimal,8.61,19080,=D107 - D106
107,Optimal,23.97,19800,=D108 - D107
108,Optimal,45.63,20520,=D109 - D108
109,Optimal,67.36,21240,=D110 - D109
110,Optimal,78.50,21960,=D111 - D110
111,Optimal,18.41,22680,=D112 - D111
112,Optimal,58.61,23400,=D113 - D112
113,Optimal,24.16,24120,=D114 - D113
114,Optimal,51.53,24840,=D115 - D114
115,Optimal,34.72,25560,=D116 - D115
116,Optimal,22.80,26280,=D117 - D116
117,Optimal,3.05,27180,=D118 - D117
118,Optimal,4.88,28080,=D119 - D118
119,Optimal,0.06,28980,=D120 - D119
120,Optimal,7.72,29880,=D121 - D120
121,Optimal,4.22,30780,=D122 - D121
122,Optimal,0.08,31680,=D123 - D122
123,Optimal,0.02,32580,=D124 - D123
124,Optimal,10.00,33480,=D125 - D124
125,Optimal,0.03,34380,=D126 - D125
126,Optimal,0.06,35280,=D127 - D126
127,Optimal,0.03,36180,=D128 - D127
