N,Optimal/Feasible,Time,Risk,Marginal
1,Optimal,0.00,0
2,Optimal,0.03,0,=D3 - D2
3,Optimal,0.05,0,=D4 - D3
4,Optimal,0.02,0,=D5 - D4
5,Optimal,0.06,0,=D6 - D5
6,Optimal,0.03,0,=D7 - D6
7,Optimal,0.03,0,=D8 - D7
8,Optimal,0.03,0,=D9 - D8
9,Optimal,0.03,0,=D10 - D9
10,Optimal,0.02,0,=D11 - D10
11,Optimal,0.03,0,=D12 - D11
12,Optimal,0.02,0,=D13 - D12
13,Optimal,0.02,0,=D14 - D13
14,Optimal,0.03,0,=D15 - D14
15,Optimal,0.03,0,=D16 - D15
16,Optimal,0.03,0,=D17 - D16
17,Optimal,0.03,0,=D18 - D17
18,Optimal,0.03,0,=D19 - D18
19,Optimal,0.02,0,=D20 - D19
20,Optimal,0.09,0,=D21 - D20
21,Optimal,0.06,0,=D22 - D21
22,Optimal,0.06,0,=D23 - D22
23,Optimal,0.09,0,=D24 - D23
24,Optimal,0.05,0,=D25 - D24
25,Optimal,0.08,0,=D26 - D25
26,Optimal,0.11,0,=D27 - D26
27,Optimal,0.08,0,=D28 - D27
28,Optimal,0.09,0,=D29 - D28
29,Optimal,0.08,0,=D30 - D29
30,Optimal,0.05,0,=D31 - D30
31,Optimal,0.09,0,=D32 - D31
32,Optimal,3.92,180,=D33 - D32
33,Optimal,51.59,360,=D34 - D33
34,Optimal,40.97,540,=D35 - D34
35,Optimal,11.78,720,=D36 - D35
36,Optimal,192.09,900,=D37 - D36
37,Optimal,115.02,1080,=D38 - D37
38,Optimal,32.63,1260,=D39 - D38
39,Optimal,84.16,1440,=D40 - D39
40,Optimal,74.33,1620,=D41 - D40
41,Optimal,50.70,1800,=D42 - D41
42,Optimal,18.19,1980,=D43 - D42
43,Optimal,14.13,2160,=D44 - D43
44,Optimal,14.42,2340,=D45 - D44
45,Optimal,15.83,2520,=D46 - D45
46,Optimal,25.70,2700,=D47 - D46
47,Optimal,14.19,2880,=D48 - D47
48,Optimal,7.36,3240,=D49 - D48
49,Optimal,16.59,3600,=D50 - D49
50,Optimal,6.66,3960,=D51 - D50
51,Optimal,9.86,4320,=D52 - D51
52,Optimal,10.95,4680,=D53 - D52
53,Optimal,17.31,5040,=D54 - D53
54,Optimal,15.17,5400,=D55 - D54
55,Optimal,10.67,5760,=D56 - D55
56,Optimal,13.77,6120,=D57 - D56
57,Optimal,20.17,6480,=D58 - D57
58,Optimal,11.55,6840,=D59 - D58
59,Optimal,11.97,7200,=D60 - D59
60,Optimal,13.27,7560,=D61 - D60
61,Optimal,15.28,7920,=D62 - D61
62,Optimal,9.17,8460,=D63 - D62
63,Optimal,47.22,9000,=D64 - D63
64,Optimal,17.11,9540,=D65 - D64
65,Optimal,12.22,10260,=D66 - D65
66,Optimal,11.34,10980,=D67 - D66
67,Optimal,33.48,11700,=D68 - D67
68,Optimal,104.59,12420,=D69 - D68
69,Optimal,13.41,13140,=D70 - D69
70,Optimal,159.41,13860,=D71 - D70
71,Optimal,153.00,14580,=D72 - D71
72,Optimal,43.19,15300,=D73 - D72
73,Optimal,17.67,16020,=D74 - D73
74,Optimal,19.61,16740,=D75 - D74
75,Optimal,13.08,17460,=D76 - D75
76,Optimal,11.86,18180,=D77 - D76
77,Optimal,26.50,18900,=D78 - D77
78,Optimal,17.92,19620,=D79 - D78
79,Optimal,14.27,20340,=D80 - D79
80,Optimal,19.58,21060,=D81 - D80
81,Optimal,47.34,21780,=D82 - D81
82,Optimal,30.78,22500,=D83 - D82
83,Optimal,24.16,23220,=D84 - D83
84,Optimal,39.38,23940,=D85 - D84
85,Optimal,61.72,24660,=D86 - D85
86,Optimal,50.50,25560,=D87 - D86
87,Optimal,13.88,26640,=D88 - D87
88,Optimal,13.36,27900,=D89 - D88
89,Optimal,25.91,29160,=D90 - D89
90,Optimal,74.77,30420,=D91 - D90
91,Optimal,84.64,31680,=D92 - D91
92,Optimal,109.00,32940,=D93 - D92
93,Optimal,54.78,34200,=D94 - D93
94,Optimal,61.23,35460,=D95 - D94
95,Optimal,53.05,36720,=D96 - D95
96,Optimal,44.34,37980,=D97 - D96
97,Optimal,36.63,39240,=D98 - D97
98,Optimal,5.63,40500,=D99 - D98
99,Optimal,0.05,41940,=D100 - D99
100,Optimal,0.06,43380,=D101 - D100
101,Optimal,0.03,44820,=D102 - D101
102,Optimal,0.08,46260,=D103 - D102
103,Optimal,0.08,47700,=D104 - D103
104,Optimal,0.03,49140,=D105 - D104
105,Optimal,0.02,50580,=D106 - D105
106,Optimal,0.08,52020,=D107 - D106
107,Optimal,0.03,53460,=D108 - D107
108,Optimal,0.06,54900,=D109 - D108
109,Optimal,0.02,56340,=D110 - D109
