N,Optimal/Feasible,Time,Risk,Marginal
1,Optimal,0.00,0
2,Optimal,0.02,0,=D3 - D2
3,Optimal,0.02,0,=D4 - D3
4,Optimal,0.03,0,=D5 - D4
5,Optimal,0.03,0,=D6 - D5
6,Optimal,0.03,0,=D7 - D6
7,Optimal,0.09,0,=D8 - D7
8,Optimal,0.03,0,=D9 - D8
9,Optimal,0.03,0,=D10 - D9
10,Optimal,0.05,0,=D11 - D10
11,Optimal,0.08,0,=D12 - D11
12,Optimal,0.09,0,=D13 - D12
13,Optimal,0.03,0,=D14 - D13
14,Optimal,0.03,0,=D15 - D14
15,Optimal,0.06,0,=D16 - D15
16,Optimal,0.00,0,=D17 - D16
17,Optimal,0.03,0,=D18 - D17
18,Optimal,0.03,0,=D19 - D18
19,Optimal,0.03,0,=D20 - D19
20,Optimal,0.03,0,=D21 - D20
21,Optimal,0.03,0,=D22 - D21
22,Optimal,0.03,0,=D23 - D22
23,Optimal,0.03,0,=D24 - D23
24,Optimal,0.03,0,=D25 - D24
25,Optimal,0.03,0,=D26 - D25
26,Optimal,0.03,0,=D27 - D26
27,Optimal,0.05,0,=D28 - D27
28,Optimal,0.05,0,=D29 - D28
29,Optimal,7.03,180,=D30 - D29
30,Optimal,76.75,360,=D31 - D30
31,Optimal,65.06,540,=D32 - D31
32,Optimal,27.97,720,=D33 - D32
33,Optimal,39.08,900,=D34 - D33
34,Optimal,65.66,1080,=D35 - D34
35,Optimal,29.94,1260,=D36 - D35
36,Optimal,701.02,1440,=D37 - D36
37,Optimal,494.42,1620,=D38 - D37
38,Optimal,117.72,1800,=D39 - D38
39,Optimal,319.75,1980,=D40 - D39
40,Optimal,313.09,2160,=D41 - D40
41,Optimal,135.06,2340,=D42 - D41
42,Optimal,32.19,2520,=D43 - D42
43,Optimal,13.70,2700,=D44 - D43
44,Optimal,12.84,2880,=D45 - D44
45,Optimal,10.89,3240,=D46 - D45
46,Optimal,9.94,3600,=D47 - D46
47,Optimal,14.17,3960,=D48 - D47
48,Optimal,22.45,4320,=D49 - D48
49,Optimal,8.64,4680,=D50 - D49
50,Optimal,11.31,5040,=D51 - D50
51,Optimal,10.16,5400,=D52 - D51
52,Optimal,6.66,5760,=D53 - D52
53,Optimal,14.61,6120,=D54 - D53
54,Optimal,20.08,6480,=D55 - D54
55,Optimal,38.31,6840,=D56 - D55
56,Optimal,33.44,7200,=D57 - D56
57,Optimal,50.69,7740,=D58 - D57
58,Optimal,39.02,8280,=D59 - D58
59,Optimal,35.33,8820,=D60 - D59
60,Optimal,23.17,9360,=D61 - D60
61,Optimal,47.45,10080,=D62 - D61
62,Optimal,25.00,10800,=D63 - D62
63,Optimal,92.78,11520,=D64 - D63
64,Optimal,55.55,12240,=D65 - D64
65,Optimal,16.36,12960,=D66 - D65
66,Optimal,15.39,13680,=D67 - D66
67,Optimal,92.30,14400,=D68 - D67
68,Optimal,23.45,15120,=D69 - D68
69,Optimal,152.63,15840,=D70 - D69
70,Optimal,36.88,16560,=D71 - D70
71,Optimal,17.25,17280,=D72 - D71
72,Optimal,28.30,18000,=D73 - D72
73,Optimal,30.56,18720,=D74 - D73
74,Optimal,78.13,19440,=D75 - D74
75,Optimal,39.81,20160,=D76 - D75
76,Optimal,110.25,20880,=D77 - D76
77,Optimal,66.27,21600,=D78 - D77
78,Optimal,39.48,22320,=D79 - D78
79,Optimal,51.53,23040,=D80 - D79
80,Optimal,15.44,23760,=D81 - D80
81,Optimal,59.28,24660,=D82 - D81
82,Optimal,28.13,25740,=D83 - D82
83,Optimal,53.72,27000,=D84 - D83
84,Optimal,28.22,28260,=D85 - D84
85,Optimal,67.67,29520,=D86 - D85
86,Optimal,77.28,30780,=D87 - D86
87,Optimal,23.52,32040,=D88 - D87
88,Optimal,18.67,33300,=D89 - D88
89,Optimal,72.38,34560,=D90 - D89
90,Optimal,95.94,35820,=D91 - D90
91,Optimal,91.03,37080,=D92 - D91
92,Optimal,92.98,38340,=D93 - D92
93,Optimal,2.91,39600,=D94 - D93
94,Optimal,0.05,41040,=D95 - D94
95,Optimal,0.05,42480,=D96 - D95
96,Optimal,8.50,43920,=D97 - D96
97,Optimal,12.16,45360,=D98 - D97
98,Optimal,9.03,46800,=D99 - D98
99,Optimal,0.13,48240,=D100 - D99
100,Optimal,0.05,49680,=D101 - D100
101,Optimal,18.34,51120,=D102 - D101
102,Optimal,0.08,52560,=D103 - D102
103,Optimal,0.11,54000,=D104 - D103
104,Optimal,0.00,55440,=D105 - D104
