N,Optimal/Feasible,Time,Risk,Marginal
1,Optimal,0.00,0
2,Optimal,0.02,0,=D3 - D2
3,Optimal,0.08,0,=D4 - D3
4,Optimal,0.02,0,=D5 - D4
5,Optimal,0.03,0,=D6 - D5
6,Optimal,0.03,0,=D7 - D6
7,Optimal,0.08,0,=D8 - D7
8,Optimal,0.05,0,=D9 - D8
9,Optimal,0.03,0,=D10 - D9
10,Optimal,0.03,0,=D11 - D10
11,Optimal,0.05,0,=D12 - D11
12,Optimal,0.09,0,=D13 - D12
13,Optimal,0.08,0,=D14 - D13
14,Optimal,0.03,0,=D15 - D14
15,Optimal,0.09,0,=D16 - D15
16,Optimal,0.08,0,=D17 - D16
17,Optimal,0.08,0,=D18 - D17
18,Optimal,0.03,0,=D19 - D18
19,Optimal,0.03,0,=D20 - D19
20,Optimal,0.02,0,=D21 - D20
21,Optimal,0.09,0,=D22 - D21
22,Optimal,0.00,0,=D23 - D22
23,Optimal,0.09,0,=D24 - D23
24,Optimal,0.02,0,=D25 - D24
25,Optimal,0.00,0,=D26 - D25
26,Optimal,0.03,0,=D27 - D26
27,Optimal,0.02,0,=D28 - D27
28,Optimal,0.00,0,=D29 - D28
29,Optimal,0.00,0,=D30 - D29
30,Optimal,0.02,0,=D31 - D30
31,Optimal,0.02,0,=D32 - D31
32,Optimal,0.09,0,=D33 - D32
33,Optimal,0.06,0,=D34 - D33
34,Optimal,0.02,0,=D35 - D34
35,Optimal,0.06,0,=D36 - D35
36,Optimal,56.30,180,=D37 - D36
37,Optimal,431.30,360,=D38 - D37
38,Optimal,60.11,540,=D39 - D38
39,Optimal,261.20,720,=D40 - D39
40,Optimal,70.77,900,=D41 - D40
41,Optimal,33.72,1080,=D42 - D41
42,Optimal,118.83,1260,=D43 - D42
43,Optimal,19.83,1440,=D44 - D43
44,Optimal,14.17,1620,=D45 - D44
45,Optimal,11.36,1800,=D46 - D45
46,Optimal,11.03,1980,=D47 - D46
47,Optimal,12.44,2160,=D48 - D47
48,Optimal,12.05,2340,=D49 - D48
49,Optimal,20.03,2520,=D50 - D49
50,Optimal,12.19,2700,=D51 - D50
51,Optimal,14.50,3060,=D52 - D51
52,Optimal,15.80,3420,=D53 - D52
53,Optimal,11.98,3780,=D54 - D53
54,Optimal,14.56,4140,=D55 - D54
55,Optimal,9.19,4500,=D56 - D55
56,Optimal,20.27,4860,=D57 - D56
57,Optimal,17.25,5220,=D58 - D57
58,Optimal,15.02,5580,=D59 - D58
59,Optimal,14.61,5940,=D60 - D59
60,Optimal,15.17,6300,=D61 - D60
61,Optimal,9.44,6660,=D62 - D61
62,Optimal,19.73,7020,=D63 - D62
63,Optimal,16.95,7380,=D64 - D63
64,Optimal,10.28,7740,=D65 - D64
65,Optimal,42.23,8100,=D66 - D65
66,Optimal,9.00,8460,=D67 - D66
67,Optimal,28.38,9000,=D68 - D67
68,Optimal,14.94,9540,=D69 - D68
69,Optimal,16.14,10080,=D70 - D69
70,Optimal,37.48,10800,=D71 - D70
71,Optimal,44.98,11520,=D72 - D71
72,Optimal,24.45,12240,=D73 - D72
73,Optimal,45.34,12960,=D74 - D73
74,Optimal,39.58,13680,=D75 - D74
75,Optimal,34.80,14400,=D76 - D75
76,Optimal,34.97,15120,=D77 - D76
77,Optimal,127.77,15840,=D78 - D77
78,Optimal,118.25,16560,=D79 - D78
79,Optimal,111.95,17280,=D80 - D79
80,Optimal,51.47,18000,=D81 - D80
81,Optimal,326.33,18720,=D82 - D81
82,Optimal,21.77,19440,=D83 - D82
83,Optimal,16.19,20340,=D84 - D83
84,Optimal,16.64,21240,=D85 - D84
85,Optimal,0.09,22140,=D86 - D85
86,Optimal,0.02,23040,=D87 - D86
87,Optimal,0.03,23940,=D88 - D87
88,Optimal,0.08,24840,=D89 - D88
89,Optimal,0.06,25740,=D90 - D89
90,Optimal,0.03,26640,=D91 - D90
91,Optimal,0.09,27540,=D92 - D91
92,Optimal,0.11,28440,=D93 - D92
93,Optimal,0.02,29340,=D94 - D93
94,Optimal,0.03,30240,=D95 - D94
95,Optimal,0.08,31140,=D96 - D95
96,Optimal,0.09,32040,=D97 - D96
97,Optimal,0.02,32940,=D98 - D97
