N,Optimal/Feasible,Time,Risk,Marginal
1,Optimal,0.00,0
2,Optimal,0.14,0,=D3 - D2
3,Optimal,0.05,0,=D4 - D3
4,Optimal,0.13,0,=D5 - D4
5,Optimal,0.05,0,=D6 - D5
6,Optimal,0.05,0,=D7 - D6
7,Optimal,0.13,0,=D8 - D7
8,Optimal,0.14,0,=D9 - D8
9,Optimal,0.11,0,=D10 - D9
10,Optimal,0.11,0,=D11 - D10
11,Optimal,0.06,0,=D12 - D11
12,Optimal,0.08,0,=D13 - D12
13,Optimal,0.05,0,=D14 - D13
14,Optimal,0.05,0,=D15 - D14
15,Optimal,0.06,0,=D16 - D15
16,Optimal,0.09,0,=D17 - D16
17,Optimal,0.09,0,=D18 - D17
18,Optimal,0.14,0,=D19 - D18
19,Optimal,0.09,0,=D20 - D19
20,Optimal,0.06,0,=D21 - D20
21,Optimal,0.05,0,=D22 - D21
22,Optimal,0.16,0,=D23 - D22
23,Optimal,0.11,0,=D24 - D23
24,Optimal,0.06,0,=D25 - D24
25,Optimal,0.06,0,=D26 - D25
26,Optimal,0.11,0,=D27 - D26
27,Optimal,0.08,0,=D28 - D27
28,Optimal,0.05,0,=D29 - D28
29,Optimal,0.08,0,=D30 - D29
30,Optimal,0.13,0,=D31 - D30
31,Optimal,0.20,0,=D32 - D31
32,Optimal,0.11,0,=D33 - D32
33,Optimal,0.17,0,=D34 - D33
34,Optimal,0.17,0,=D35 - D34
35,Optimal,28.52,14,=D36 - D35
36,Feasible,21600.23,28,=D37 - D36
37,Feasible,21600.39,42,=D38 - D37
38,Feasible,21600.36,56,=D39 - D38
39,Feasible,21600.22,70,=D40 - D39
40,Feasible,21600.39,84,=D41 - D40
41,Feasible,21600.39,98,=D42 - D41
42,Feasible,21600.41,112,=D43 - D42
43,Feasible,21600.38,126,=D44 - D43
44,Feasible,21600.31,140,=D45 - D44
45,Feasible,21600.34,154,=D46 - D45
46,Feasible,21600.34,168,=D47 - D46
47,Feasible,21611.39,182,=D48 - D47
48,Optimal,235.20,196,=D49 - D48
49,Optimal,284.13,210,=D50 - D49
50,Feasible,21600.45,232,=D51 - D50
51,Optimal,330.84,246,=D52 - D51
52,Optimal,335.63,268,=D53 - D52
53,Optimal,404.83,290,=D54 - D53
54,Optimal,964.33,312,=D55 - D54
55,Optimal,1322.09,336,=D56 - D55
56,Optimal,1425.48,364,=D57 - D56
57,Optimal,1055.14,386,=D58 - D57
58,Optimal,942.34,408,=D59 - D58
59,Optimal,1028.28,430,=D60 - D59
60,Optimal,608.38,452,=D61 - D60
61,Optimal,1540.81,474,=D62 - D61
62,Optimal,1135.94,496,=D63 - D62
63,Optimal,384.19,518,=D64 - D63
64,Optimal,285.11,540,=D65 - D64
65,Optimal,346.88,562,=D66 - D65
66,Optimal,298.92,584,=D67 - D66
67,Optimal,216.22,612,=D68 - D67
68,Optimal,172.73,650,=D69 - D68
69,Optimal,223.73,688,=D70 - D69
70,Optimal,384.25,726,=D71 - D70
71,Optimal,283.08,764,=D72 - D71
72,Optimal,262.06,802,=D73 - D72
73,Optimal,316.41,840,=D74 - D73
74,Optimal,339.52,878,=D75 - D74
75,Optimal,292.02,916,=D76 - D75
76,Optimal,288.97,954,=D77 - D76
77,Optimal,227.56,992,=D78 - D77
78,Optimal,346.34,1030,=D79 - D78
79,Optimal,214.28,1068,=D80 - D79
80,Optimal,85.14,1106,=D81 - D80
81,Optimal,71.59,1152,=D82 - D81
82,Optimal,82.83,1198,=D83 - D82
83,Optimal,82.50,1244,=D84 - D83
84,Optimal,63.77,1290,=D85 - D84
85,Optimal,69.00,1336,=D86 - D85
86,Optimal,61.53,1382,=D87 - D86
87,Optimal,57.16,1428,=D88 - D87
88,Optimal,63.03,1474,=D89 - D88
89,Optimal,51.23,1520,=D90 - D89
90,Optimal,37.06,1566,=D91 - D90
91,Optimal,32.16,1612,=D92 - D91
92,Optimal,27.61,1658,=D93 - D92
93,Optimal,13.61,1704,=D94 - D93
94,Optimal,15.11,1850,=D95 - D94
95,Optimal,12.89,2004,=D96 - D95
96,Optimal,14.20,2174,=D97 - D96
97,Optimal,13.88,2362,=D98 - D97
98,Optimal,12.39,2552,=D99 - D98
99,Optimal,13.91,2760,=D100 - D99
100,Optimal,16.94,3020,=D101 - D100
101,Optimal,13.78,3280,=D102 - D101
102,Optimal,15.97,3540,=D103 - D102
103,Optimal,15.23,3800,=D104 - D103
104,Optimal,24.72,4090,=D105 - D104
105,Optimal,22.31,4380,=D106 - D105
106,Optimal,29.75,4672,=D107 - D106
107,Optimal,29.14,4964,=D108 - D107
108,Optimal,29.20,5256,=D109 - D108
109,Optimal,24.80,5548,=D110 - D109
110,Optimal,30.22,5840,=D111 - D110
111,Optimal,30.55,6132,=D112 - D111
112,Optimal,23.25,6424,=D113 - D112
113,Optimal,28.03,6716,=D114 - D113
114,Optimal,22.91,7008,=D115 - D114
115,Optimal,21.86,7300,=D116 - D115
116,Optimal,27.11,7592,=D117 - D116
117,Optimal,26.34,7884,=D118 - D117
118,Optimal,20.97,8176,=D119 - D118
119,Optimal,22.19,8468,=D120 - D119
120,Optimal,20.22,8760,=D121 - D120
121,Optimal,22.16,9052,=D122 - D121
122,Optimal,19.75,9344,=D123 - D122
123,Optimal,20.91,9636,=D124 - D123
124,Optimal,16.94,9928,=D125 - D124
125,Optimal,22.56,10220,=D126 - D125
126,Optimal,22.63,10512,=D127 - D126
127,Optimal,18.59,10804,=D128 - D127
128,Optimal,16.55,11096,=D129 - D128
129,Optimal,18.77,11394,=D130 - D129
130,Optimal,10.61,11692,=D131 - D130
131,Optimal,12.13,12012,=D132 - D131
132,Optimal,19.59,12340,=D133 - D132
133,Optimal,16.22,12672,=D134 - D133
134,Optimal,18.75,13006,=D135 - D134
135,Optimal,18.50,13340,=D136 - D135
136,Optimal,19.72,13674,=D137 - D136
137,Optimal,23.53,14008,=D138 - D137
138,Optimal,22.39,14342,=D139 - D138
139,Optimal,24.52,14676,=D140 - D139
140,Optimal,19.42,15010,=D141 - D140
141,Optimal,20.13,15344,=D142 - D141
142,Optimal,19.66,15678,=D143 - D142
143,Optimal,20.72,16012,=D144 - D143
144,Optimal,23.92,16346,=D145 - D144
145,Optimal,21.41,16688,=D146 - D145
146,Optimal,21.70,17030,=D147 - D146
147,Optimal,21.28,17372,=D148 - D147
148,Optimal,21.83,17714,=D149 - D148
149,Optimal,18.72,18056,=D150 - D149
150,Optimal,17.17,18398,=D151 - D150
151,Optimal,24.19,18740,=D152 - D151
152,Optimal,19.50,19082,=D153 - D152
153,Optimal,17.39,19424,=D154 - D153
154,Optimal,17.23,19766,=D155 - D154
155,Optimal,12.45,20108,=D156 - D155
156,Optimal,7.22,20454,=D157 - D156
157,Optimal,9.03,20802,=D158 - D157
158,Optimal,6.70,21156,=D159 - D158
159,Optimal,7.47,21518,=D160 - D159
160,Optimal,18.56,21880,=D161 - D160
161,Optimal,16.61,22242,=D162 - D161
162,Optimal,5.20,22604,=D163 - D162
163,Optimal,3.22,22966,=D164 - D163
164,Optimal,4.11,23328,=D165 - D164
165,Optimal,13.39,23690,=D166 - D165
166,Optimal,11.59,24052,=D167 - D166
167,Optimal,9.23,24414,=D168 - D167
168,Optimal,5.34,24776,=D169 - D168
169,Optimal,0.41,25138,=D170 - D169
170,Optimal,0.59,25508,=D171 - D170
171,Optimal,0.23,25878,=D172 - D171
172,Optimal,0.25,26248,=D173 - D172
173,Optimal,0.11,26618,=D174 - D173
174,Optimal,0.16,26988,=D175 - D174
175,Optimal,0.09,27358,=D176 - D175
176,Optimal,0.09,27728,=D177 - D176
177,Optimal,0.14,28098,=D178 - D177
178,Optimal,0.17,28468,=D179 - D178
179,Optimal,0.09,28838,=D180 - D179
180,Optimal,0.02,29208,=D181 - D180
